Wavelength(nm)	Transmittance_Experimental(%)	Transmittance_Fit(%)	Refractive_index	Extintion_coefficient
602	93.2979	93.2554	1.45959	0
603	93.2986	93.2564	1.45955	0
604	93.2994	93.2575	1.45952	0
605	93.3001	93.2585	1.45949	0
606	93.3009	93.2596	1.45946	0
607	93.3016	93.2607	1.45943	0
608	93.3024	93.2617	1.4594	0
609	93.3031	93.2628	1.45937	0
610	93.3038	93.2639	1.45934	0
611	93.3046	93.265	1.45931	0
612	93.3053	93.2662	1.45928	0
613	93.306	93.2673	1.45925	0
614	93.3067	93.2684	1.45922	0
615	93.3074	93.2695	1.45919	0
616	93.3082	93.2707	1.45916	0
617	93.3089	93.2718	1.45913	0
618	93.3096	93.273	1.4591	0
619	93.3103	93.2741	1.45907	0
620	93.311	93.2753	1.45904	0
621	93.3117	93.2765	1.45901	0
622	93.3124	93.2776	1.45899	0
623	93.3131	93.2788	1.45896	0
624	93.3138	93.28	1.45893	0
625	93.3145	93.2812	1.4589	0
626	93.3152	93.2823	1.45887	0
627	93.3158	93.2835	1.45885	0
628	93.3165	93.2847	1.45882	0
629	93.3172	93.2859	1.45879	0
630	93.3179	93.2871	1.45876	0
631	93.3185	93.2883	1.45874	0
632	93.3192	93.2895	1.45871	0
633	93.3199	93.2906	1.45868	0
634	93.3205	93.2918	1.45865	0
635	93.3212	93.293	1.45863	0
636	93.3219	93.2942	1.4586	0
637	93.3225	93.2954	1.45857	0
638	93.3232	93.2966	1.45855	0
639	93.3238	93.2978	1.45852	0
640	93.3245	93.2989	1.4585	0
641	93.3251	93.3001	1.45847	0
642	93.3258	93.3013	1.45844	0
643	93.3264	93.3025	1.45842	0
644	93.3271	93.3036	1.45839	0
645	93.3277	93.3048	1.45837	0
646	93.3283	93.306	1.45834	0
647	93.329	93.3071	1.45832	0
648	93.3296	93.3083	1.45829	0
649	93.3302	93.3094	1.45827	0
650	93.3308	93.3106	1.45824	0
651	93.3315	93.3117	1.45822	0
652	93.3321	93.3128	1.45819	0
653	93.3327	93.3139	1.45817	0
654	93.3333	93.3151	1.45814	0
655	93.3339	93.3162	1.45812	0
656	93.3345	93.3173	1.45809	0
657	93.3351	93.3184	1.45807	0
658	93.3357	93.3195	1.45804	0
659	93.3363	93.3206	1.45802	0
660	93.3369	93.3217	1.458	0
661	93.3375	93.3227	1.45797	0
662	93.3381	93.3238	1.45795	0
663	93.3387	93.3249	1.45793	0
664	93.3393	93.3259	1.4579	0
665	93.3399	93.327	1.45788	0
666	93.3405	93.328	1.45786	0
667	93.3411	93.329	1.45783	0
668	93.3417	93.33	1.45781	0
669	93.3423	93.3311	1.45779	0
670	93.3428	93.3321	1.45777	0
671	93.3434	93.3331	1.45774	0
672	93.344	93.334	1.45772	0
673	93.3446	93.335	1.4577	0
674	93.3451	93.336	1.45768	0
675	93.3457	93.3369	1.45765	0
676	93.3463	93.3379	1.45763	0
677	93.3468	93.3388	1.45761	0
678	93.3474	93.3397	1.45759	0
679	93.348	93.3407	1.45757	0
680	93.3485	93.3416	1.45754	0
681	93.3491	93.3425	1.45752	0
682	93.3496	93.3434	1.4575	0
683	93.3502	93.3442	1.45748	0
684	93.3507	93.3451	1.45746	0
685	93.3513	93.346	1.45744	0
686	93.3518	93.3468	1.45742	0
687	93.3524	93.3477	1.45739	0
688	93.3529	93.3485	1.45737	0
689	93.3535	93.3493	1.45735	0
690	93.354	93.3501	1.45733	0
691	93.3546	93.3509	1.45731	0
692	93.3551	93.3517	1.45729	0
693	93.3556	93.3525	1.45727	0
694	93.3562	93.3532	1.45725	0
695	93.3567	93.354	1.45723	0
696	93.3572	93.3547	1.45721	0
697	93.3577	93.3554	1.45719	0
698	93.3583	93.3562	1.45717	0
699	93.3588	93.3569	1.45715	0
700	93.3593	93.3576	1.45713	0
701	93.3598	93.3583	1.45711	0
702	93.3604	93.3589	1.45709	0
703	93.3609	93.3596	1.45707	0
704	93.3614	93.3603	1.45705	0
705	93.3619	93.3609	1.45703	0
706	93.3624	93.3615	1.45701	0
707	93.3629	93.3622	1.45699	0
708	93.3634	93.3628	1.45697	0
709	93.364	93.3634	1.45695	0
710	93.3645	93.364	1.45693	0
711	93.365	93.3646	1.45692	0
712	93.3655	93.3651	1.4569	0
713	93.366	93.3657	1.45688	0
714	93.3665	93.3662	1.45686	0
715	93.367	93.3668	1.45684	0
716	93.3675	93.3673	1.45682	0
717	93.368	93.3678	1.4568	0
718	93.3684	93.3683	1.45679	0
719	93.3689	93.3688	1.45677	0
720	93.3694	93.3693	1.45675	0
721	93.3699	93.3698	1.45673	0
722	93.3704	93.3703	1.45671	0
723	93.3709	93.3707	1.45669	0
724	93.3714	93.3712	1.45668	0
725	93.3719	93.3716	1.45666	0
726	93.3723	93.3721	1.45664	0
727	93.3728	93.3725	1.45662	0
728	93.3733	93.3729	1.45661	0
729	93.3738	93.3733	1.45659	0
730	93.3743	93.3737	1.45657	0
731	93.3747	93.3741	1.45655	0
732	93.3752	93.3744	1.45654	0
733	93.3757	93.3748	1.45652	0
734	93.3761	93.3751	1.4565	0
735	93.3766	93.3755	1.45648	0
736	93.3771	93.3758	1.45647	0
737	93.3776	93.3761	1.45645	0
738	93.378	93.3765	1.45643	0
739	93.3785	93.3768	1.45642	0
740	93.379	93.3771	1.4564	0
741	93.3794	93.3774	1.45638	0
742	93.3799	93.3777	1.45637	0
743	93.3803	93.3779	1.45635	0
744	93.3808	93.3782	1.45633	0
745	93.3812	93.3785	1.45632	0
746	93.3817	93.3787	1.4563	0
747	93.3821	93.3789	1.45628	0
748	93.3826	93.3792	1.45627	0
749	93.383	93.3794	1.45625	0
750	93.3835	93.3796	1.45624	0
751	93.3839	93.3798	1.45622	0
752	93.3844	93.38	1.4562	0
753	93.3849	93.3802	1.45619	0
754	93.3853	93.3804	1.45617	0
755	93.3857	93.3806	1.45616	0
756	93.3862	93.3808	1.45614	0
757	93.3866	93.381	1.45613	0
758	93.3871	93.3811	1.45611	0
759	93.3875	93.3813	1.45609	0
760	93.3879	93.3814	1.45608	0
761	93.3884	93.3816	1.45606	0
762	93.3888	93.3817	1.45605	0
763	93.3892	93.3818	1.45603	0
764	93.3897	93.382	1.45602	0
765	93.3901	93.3821	1.456	0
766	93.3905	93.3822	1.45599	0
767	93.391	93.3823	1.45597	0
768	93.3914	93.3824	1.45596	0
769	93.3918	93.3825	1.45594	0
770	93.3923	93.3826	1.45593	0
771	93.3927	93.3826	1.45591	0
772	93.3931	93.3827	1.4559	0
773	93.3935	93.3828	1.45588	0
774	93.3939	93.3829	1.45587	0
775	93.3944	93.3829	1.45585	0
776	93.3948	93.383	1.45584	0
777	93.3952	93.383	1.45583	0
778	93.3956	93.3831	1.45581	0
779	93.396	93.3831	1.4558	0
780	93.3965	93.3832	1.45578	0
781	93.3969	93.3832	1.45577	0
782	93.3973	93.3832	1.45575	0
783	93.3977	93.3832	1.45574	0
784	93.3981	93.3833	1.45573	0
785	93.3985	93.3833	1.45571	0
786	93.3989	93.3833	1.4557	0
787	93.3993	93.3833	1.45568	0
788	93.3997	93.3833	1.45567	0
789	93.4001	93.3833	1.45566	0
790	93.4005	93.3833	1.45564	0
791	93.4009	93.3833	1.45563	0
792	93.4014	93.3833	1.45562	0
793	93.4018	93.3833	1.4556	0
794	93.4022	93.3833	1.45559	0
795	93.4026	93.3832	1.45557	0
796	93.403	93.3832	1.45556	0
797	93.4034	93.3832	1.45555	0
798	93.4038	93.3832	1.45553	0
799	93.4042	93.3831	1.45552	0
800	93.4046	93.3831	1.45551	0
801	93.4049	93.3831	1.45549	0
802	93.4053	93.383	1.45548	0
803	93.4057	93.383	1.45547	0
804	93.4061	93.383	1.45546	0
805	93.4065	93.3829	1.45544	0
806	93.4069	93.3829	1.45543	0
807	93.4073	93.3828	1.45542	0
808	93.4077	93.3828	1.4554	0
809	93.4081	93.3827	1.45539	0
810	93.4085	93.3827	1.45538	0
811	93.4089	93.3826	1.45537	0
812	93.4092	93.3825	1.45535	0
813	93.4096	93.3825	1.45534	0
814	93.41	93.3824	1.45533	0
815	93.4104	93.3824	1.45532	0
816	93.4108	93.3823	1.4553	0
817	93.4112	93.3822	1.45529	0
818	93.4115	93.3822	1.45528	0
819	93.4119	93.3821	1.45527	0
820	93.4123	93.382	1.45525	0
821	93.4127	93.382	1.45524	0
822	93.413	93.3819	1.45523	0
823	93.4134	93.3818	1.45522	0
824	93.4138	93.3818	1.45521	0
825	93.4142	93.3817	1.45519	0
826	93.4145	93.3816	1.45518	0
827	93.4149	93.3815	1.45517	0
828	93.4153	93.3815	1.45516	0
829	93.4156	93.3814	1.45515	0
830	93.416	93.3813	1.45513	0
831	93.4164	93.3812	1.45512	0
832	93.4168	93.3812	1.45511	0
833	93.4171	93.3811	1.4551	0
834	93.4175	93.381	1.45509	0
835	93.4179	93.3809	1.45508	0
836	93.4182	93.3809	1.45506	0
837	93.4186	93.3808	1.45505	0
838	93.419	93.3807	1.45504	0
839	93.4193	93.3807	1.45503	0
