Wavelength(nm)	Transmittance_Experimental(%)	Transmittance_Fit(%)	Refractive_index	Extintion_coefficient
499.38	94.136	92.4802	1	0
500.15	92.729	92.486	1	0
500.93	92.577	92.4919	1	0
501.7	92.294	92.4976	1	0
502.48	92.009	92.5034	1	0
503.25	92.545	92.5091	1	0
504.02	91.986	92.5148	1	0
504.8	92.585	92.5205	1	0
505.57	93.001	92.5261	1	0
506.34	92.184	92.5317	1	0
507.12	92.973	92.5373	1	0
507.89	93.328	92.5428	1	0
508.67	93.138	92.5483	1	0
509.44	93.267	92.5537	1	0
510.21	94.278	92.5591	1	0
510.99	94.022	92.5646	1	0
511.76	92.962	92.5699	1	0
512.53	92.524	92.5753	1	0
513.3	92.646	92.5805	1	0
514.08	94.011	92.5859	1	0
514.85	91.878	92.5911	1	0
515.62	93.663	92.5963	1	0
516.4	93.054	92.6015	1	0
517.17	92.934	92.6067	1	0
517.94	93.006	92.6118	1	0
518.71	93.049	92.6169	1	0
519.49	92.784	92.622	1	0
520.26	92.734	92.627	1	0
521.03	93.071	92.632	1	0
521.8	92.148	92.637	1	0
522.58	93.195	92.642	1	0
523.35	93.35	92.6469	1	0
524.12	93.9	92.6518	1	0
524.89	92.859	92.6567	1	0
525.66	92.459	92.6615	1	0
526.44	93.565	92.6664	1	0
527.21	92.853	92.6712	1	0
527.98	92.036	92.676	1	0
528.75	93.05	92.6807	1	0
529.52	94.347	92.6854	1	0
530.29	92.507	92.6901	1	0
531.07	93.128	92.6948	1	0
531.84	92.522	92.6995	1	0
532.61	93.736	92.7041	1	0
533.38	93.938	92.7087	1	0
534.15	92.983	92.7132	1	0
534.92	93.122	92.7178	1	0
535.69	92.968	92.7223	1	0
536.46	92.266	92.7268	1	0
537.23	92.123	92.7312	1	0
538	92.221	92.7357	1	0
538.78	91.987	92.7402	1	0
539.55	93.628	92.7446	1	0
540.32	93.28	92.749	1	0
541.09	92.746	92.7533	1	0
541.86	93.002	92.7576	1	0
542.63	92.74	92.7619	1	0
543.4	93.237	92.7662	1	0
544.17	93.145	92.7705	1	0
544.94	92.871	92.7747	1	0
545.71	92.443	92.779	1	0
546.48	92.846	92.7832	1	0
547.25	93.95	92.7873	1	0
548.02	93.963	92.7915	1	0
548.79	93.368	92.7956	1	0
549.56	92.677	92.7997	1	0
550.33	93.228	92.8038	1	0
551.1	93.71	92.8079	1	0
551.87	92.047	92.812	1	0
552.64	93.193	92.816	1	0
553.41	93.865	92.82	1	0
554.17	92.946	92.824	1	0
554.94	94.111	92.8279	1	0
555.71	93.959	92.8319	1	0
556.48	93.413	92.8358	1	0
557.25	92.781	92.8397	1	0
558.02	93.547	92.8436	1	0
558.79	92.65	92.8475	1	0
559.56	92.908	92.8514	1	0
560.33	93.011	92.8552	1	0
561.09	93.606	92.859	1	0
561.86	92.602	92.8628	1	0
562.63	92.727	92.8665	1	0
563.4	92.751	92.8703	1	0
564.17	92.33	92.874	1	0
564.94	93.131	92.8778	1	0
565.71	91.49	92.8815	1	0
566.47	93.239	92.8851	1	0
