Wavelength(nm)	Transmittance_Experimental(%)	Transmittance_Fit(%)	Refractive_index	Extintion_coefficient
539.55	93.628	92.8994	1.47304	0
540.32	93.28	92.9018	1.47298	0
541.09	92.746	92.9042	1.47293	0
541.86	93.002	92.9066	1.47287	0
542.63	92.74	92.909	1.47282	0
543.4	93.237	92.9114	1.47277	0
544.17	93.145	92.9137	1.47272	0
544.94	92.871	92.916	1.47266	0
545.71	92.443	92.9184	1.47261	0
546.48	92.846	92.9207	1.47256	0
547.25	93.95	92.9229	1.47251	0
548.02	93.963	92.9252	1.47246	0
548.79	93.368	92.9274	1.47241	0
549.56	92.677	92.9297	1.47235	0
550.33	93.228	92.9319	1.4723	0
551.1	93.71	92.934	1.47225	0
551.87	92.047	92.9362	1.4722	0
552.64	93.193	92.9383	1.47215	0
553.41	93.865	92.9405	1.4721	0
554.17	92.946	92.9425	1.47205	0
554.94	94.111	92.9446	1.472	0
555.71	93.959	92.9466	1.47195	0
556.48	93.413	92.9487	1.47191	0
557.25	92.781	92.9507	1.47186	0
558.02	93.547	92.9526	1.47181	0
558.79	92.65	92.9546	1.47176	0
559.56	92.908	92.9565	1.47171	0
560.33	93.011	92.9584	1.47166	0
561.09	93.606	92.9603	1.47162	0
561.86	92.602	92.9621	1.47157	0
562.63	92.727	92.964	1.47152	0
563.4	92.751	92.9658	1.47147	0
564.17	92.33	92.9675	1.47143	0
564.94	93.131	92.9693	1.47138	0
565.71	91.49	92.971	1.47133	0
566.47	93.239	92.9727	1.47129	0
567.24	93.922	92.9744	1.47124	0
568.01	92.825	92.976	1.4712	0
568.78	92.872	92.9776	1.47115	0
569.55	92.755	92.9792	1.47111	0
570.31	93.162	92.9808	1.47106	0
571.08	92.987	92.9823	1.47102	0
571.85	92.752	92.9838	1.47097	0
572.62	93.365	92.9853	1.47093	0
573.38	93.13	92.9868	1.47088	0
574.15	93.362	92.9882	1.47084	0
574.92	93.264	92.9896	1.47079	0
575.69	93.459	92.991	1.47075	0
576.45	92.995	92.9923	1.47071	0
577.22	93.058	92.9937	1.47066	0
577.99	93.428	92.995	1.47062	0
578.75	93.451	92.9962	1.47058	0
579.52	93.193	92.9975	1.47053	0
580.29	93.169	92.9987	1.47049	0
581.05	93.253	92.9999	1.47045	0
581.82	93.033	93.0011	1.4704	0
582.59	92.997	93.0022	1.47036	0
583.35	93.297	93.0033	1.47032	0
584.12	93.322	93.0044	1.47028	0
584.89	93.129	93.0055	1.47024	0
585.65	93.192	93.0065	1.4702	0
586.42	93.466	93.0075	1.47015	0
587.19	93.34	93.0085	1.47011	0
587.95	92.671	93.0095	1.47007	0
588.72	93.092	93.0104	1.47003	0
589.48	93.179	93.0113	1.46999	0
590.25	93.771	93.0122	1.46995	0
591.02	94.087	93.0131	1.46991	0
591.78	93.698	93.0139	1.46987	0
592.55	93.123	93.0148	1.46983	0
593.31	92.888	93.0156	1.46979	0
594.08	93.343	93.0163	1.46975	0
594.84	92.958	93.0171	1.46971	0
595.61	92.614	93.0178	1.46967	0
596.37	92.518	93.0185	1.46963	0
597.14	92.199	93.0192	1.46959	0
597.9	92.923	93.0199	1.46955	0
598.67	92.508	93.0205	1.46951	0
599.43	92.845	93.0212	1.46948	0
600.2	93.836	93.0218	1.46944	0
600.96	93.5	93.0223	1.4694	0
601.73	92.443	93.0229	1.46936	0
602.49	92.467	93.0234	1.46932	0
603.26	92.544	93.024	1.46929	0
604.02	92.768	93.0245	1.46925	0
604.79	92.851	93.025	1.46921	0
605.55	93.114	93.0254	1.46917	0
606.32	93.235	93.0259	1.46914	0
607.08	92.989	93.0263	1.4691	0
607.84	93.103	93.0267	1.46906	0
608.61	93.347	93.0271	1.46903	0
609.37	93.827	93.0275	1.46899	0
610.14	93.26	93.0279	1.46895	0
610.9	92.634	93.0282	1.46892	0
611.66	93.677	93.0285	1.46888	0
612.43	93.701	93.0288	1.46884	0
613.19	92.869	93.0291	1.46881	0
613.96	92.991	93.0294	1.46877	0
